1001,1/1/1,,x,x,x,x,x,Asked Mark to program these in.
1002,,,,,,TESTER,TESTER,TESTER,,Tester
1111,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
1112,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
1113,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
1114,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
1115,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
1116,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
1117,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
1118,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
1119,5/17/13,BM,1.2.002,1.2.0,4.2,Yes,D
1120,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1121,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1122,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1123,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1124,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1125,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1126,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1127,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1128,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1129,6/23/13,BM,1.2.002,1.2.0,4.2,Yes,D
1130,9/10/13,BM,1.3.000,1.3.0,V 4.10,Yes,D,Device had just S/N programmed when arrived
1131,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1132,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1133,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1134,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1135,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D,GbE IN port dead on arrival at WooshCom
1136,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1137,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1138,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1139,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1140,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1141,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1142,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1143,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1144,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1145,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1146,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1147,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1148,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1149,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1150,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1151,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1152,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1153,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1154,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1155,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1156,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1157,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1158,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1159,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1160,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1161,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1162,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1163,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1164,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1165,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1166,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1167,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D,Both management port LEDs solid On with no cable plugged in
1168,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1169,9/5/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1170,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1171,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1172,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1173,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1174,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1175,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1176,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1177,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1178,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1179,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1180,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1181,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1182,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1183,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1184,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1185,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1186,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1187,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1188,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1189,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1190,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1191,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1192,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1193,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1194,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1195,1/1/00,BM,1.3.000,1.3.0,V 4.10,Yes,D
1196,9/10/13,BM,1.3.000,1.3.0,V 4.10,Yes,D,Solder Mask over R3 and R5 pads
1197,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1198,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1199,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1200,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D,Both management Ports Dead
1201,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1202,9/10/13,BM,1.3.000,1.3.0,V 4.10,Yes,D,Bad PWR/FLT LED D5 - replaced it
1203,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1204,1/1/10,BM,1.3.000,1.3.0,V 4.10,Yes,D
1205,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1206,1/1/10,BM,1.3.000,1.3.0,V 4.10,Yes,D
1207,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1208,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
1209,9/6/13,TJ,1.3.000,1.3.0,V 4.10,Yes,D
